40395,40291,40252,40260,40283,40357,40458,40578,40715,40854,41041,41243,41492,41758,3.0048e+08
5.0004e+08,40300,40199,40151,40147,40177,40231,40290,40382,40487,40611,40744,40902,41113,3.0048e+08
1e+09,5.0004e+08,40272,40195,40158,40179,40205,40249,40277,40336,40375,40440,40499,40617,3.0048e+08
1.5e+09,1e+09,5.0004e+08,40531,40524,40562,40574,40623,40620,40605,40576,40527,40508,40494,3.0048e+08
2e+09,1.5e+09,1e+09,5.0004e+08,41341,41414,41469,41507,41515,41460,41378,41251,41090,40959,3.0048e+08
2.5e+09,2e+09,1.5e+09,1e+09,5.0004e+08,42739,42877,42967,42976,42912,42779,42570,42349,42101,3.0048e+08
3e+09,2.5e+09,2e+09,1.5e+09,1e+09,5.0004e+08,44565,44713,44793,44772,44643,44434,44121,43769,3.0048e+08
3.5e+09,3e+09,2.5e+09,2e+09,1.5e+09,1e+09,5.0005e+08,46580,46763,46799,46751,46545,46254,45845,3.0048e+08
4e+09,3.5e+09,3e+09,2.5e+09,2e+09,1.5e+09,1e+09,5.0005e+08,48667,48814,48857,48785,48530,48144,3.0048e+08
4.5e+09,4e+09,3.5e+09,3e+09,2.5e+09,2e+09,1.5e+09,1.0001e+09,5.0005e+08,50745,50930,50965,50797,50494,3.0049e+08
5e+09,4.5001e+09,4.0001e+09,3.5001e+09,3.0001e+09,2.5001e+09,2.0001e+09,1.5001e+09,1.0001e+09,5.0005e+08,52852,53020,53039,52887,3.0049e+08
5.5001e+09,5.0001e+09,4.5001e+09,4.0001e+09,3.5001e+09,3.0001e+09,2.5001e+09,2.0001e+09,1.5001e+09,1.0001e+09,5.0005e+08,54810,54947,54970,3.0049e+08
6.3001e+09,5.8001e+09,5.3001e+09,4.8001e+09,4.3001e+09,3.8001e+09,3.3001e+09,2.8001e+09,2.3001e+09,1.8001e+09,1.3001e+09,8.0006e+08,3.0006e+08,3.0006e+08,6.0049e+08
7.3001e+09,6.8001e+09,6.3001e+09,5.8001e+09,5.3001e+09,4.8001e+09,4.3001e+09,3.8001e+09,3.3001e+09,2.8001e+09,2.3001e+09,1.8001e+09,1.3001e+09,8.0006e+08,1.1005e+09
8.3001e+09,7.8001e+09,7.3001e+09,6.8001e+09,6.3001e+09,5.8001e+09,5.3001e+09,4.8001e+09,4.3001e+09,3.8001e+09,3.3001e+09,2.8001e+09,2.3001e+09,1.8001e+09,1.6005e+09
