40395,40291,40252,40260,40283,40357,40458,40578,40715,40854,41041,41243,41492,41758,42063
40512,40300,40199,40151,40147,40177,40231,40290,40382,40487,40611,40744,40902,41113,41343
40700,40438,40272,40195,40158,40179,40205,40249,40277,40336,40375,40440,40499,40617,40746
40999,40751,40592,40531,40524,40562,40574,40623,40620,40605,40576,40527,40508,40494,40502
41651,41446,41325,41296,41341,41414,41469,41507,41515,41460,41378,41251,41090,40959,40854
42710,42575,42516,42561,42619,42739,42877,42967,42976,42912,42779,42570,42349,42101,41817
44100,44039,44035,44107,44238,44411,44565,44713,44793,44772,44643,44434,44121,43769,43369
45560,45599,45633,45777,45929,46159,46375,46580,46763,46799,46751,46545,46254,45845,45351
47030,47135,47232,47421,47613,47869,48142,48405,48667,48814,48857,48785,48530,48144,47647
48463,48604,48812,49028,49287,49541,49845,50175,50491,50745,50930,50965,50797,50494,50037
49813,50028,50285,50538,50871,51156,51524,51844,52146,52396,52852,53020,53039,52887,52339
51099,51358,51687,51975,52241,52752,53123,53513,53386,54222,54576,54810,54947,54970,54779
52199,52682,53022,53377,53785,54159,54571,54913,54561,54903,56266,56577,56833,56958,56942
53481,53342,54212,54600,54969,54666,55012,56452,56851,57266,57635,57990,58275,57197,57325
54475,54887,54551,54909,56372,56802,57249,57682,58062,57205,57527,57875,59894,60213,60443
